"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","6,8nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C3","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C4","22nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C5","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C6","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C7,C8,C9,C10,C29,C31","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6",""
"C11,C13,C19,C20,C21,C22,C23,C24,C38,C39,C40","0,1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","11",""
"C12","47u","~","Capacitor_SMD:CP_Elec_3x5.3","1",""
"C14,C15,C16,C41","22u","~","Capacitor_SMD:CP_Elec_3x5.3","4",""
"C18,C30,C37","10u","~","Capacitor_SMD:CP_Elec_3x5.3","3",""
"C25,C26","18p","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C27","10n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C28","4,7u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C32,C33,C34,C35,C36","2,2u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"D1,D4","BAT54J","https://assets.nexperia.com/documents/data-sheet/BAT54J.pdf","Diode_SMD:D_SOD-323F","2",""
"D2","SMAJ58A","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","Diode_SMD:D_SMA","1",""
"D3","SMAJ5.0A","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","Diode_SMD:D_SMA","1",""
"D5","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","RJ45_Abracon_ARJP11A-MASA-B-A-EMU2","https://abracon.com/Magnetics/lan/ARJP11A.PDF","Connector_RJ:RJ45_Abracon_ARJP11A-MA_Horizontal","1",""
"J2","USB_C_Receptacle_USB2.0_14P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","1",""
"J3,J4","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","2",""
"L1,L2,L3","600Ohm@100MHz","~","-- verschiedene Werte --","3",""
